# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e+01, 4.4508e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, -7.3705e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, -1.9566e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.8000e+01, -2.8412e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 2.4342e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 2.2517e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 2.0618e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 1.8885e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 1.7176e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.5608e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 1.4245e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.2856e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.1446e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.0277e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 8.8256e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 7.4214e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 6.1041e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 4.8774e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 3.9300e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 2.7181e-01
