# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.5690e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.4349e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.2995e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.1164e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 9.3001e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 7.4015e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.5736e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 4.1594e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.3578e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 8.6180e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 2.0252e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
