# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_scin_dB
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 3.0473e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 6.6024e-03
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, -1.0934e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, -2.9024e-02
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, -4.2147e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 4.8310e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 4.4688e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 4.0919e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 3.7479e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 3.4088e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 3.0977e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 2.8271e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.5514e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 2.2716e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 2.0396e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 1.7516e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 1.4729e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 1.2114e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 9.6797e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 7.7996e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 5.3944e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 2.9178e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 6.3219e-03
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, -1.0469e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, -2.7791e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, -4.0356e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 4.6740e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 4.3236e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 3.9589e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 3.6261e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 3.2980e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 2.9970e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 2.7352e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 2.4685e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 2.1977e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.9734e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 1.6946e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 1.4250e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 1.1721e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 9.3651e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 7.5461e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 5.2190e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 2.8230e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 6.1164e-03
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, -1.0129e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, -2.6888e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, -3.9045e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 4.5667e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 4.2243e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 3.8680e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 3.5428e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 3.2223e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 2.9282e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 2.6724e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 2.4118e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 2.1473e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.9280e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 1.6557e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 1.3923e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 1.1452e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 9.1501e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 7.3728e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 5.0992e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 2.7582e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 5.9760e-03
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, -9.8962e-03
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, -2.6271e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, -3.8148e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 4.5041e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 4.1664e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 3.8150e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 3.4943e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 3.1782e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 2.8881e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 2.6358e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 2.3787e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 2.1178e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.9016e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 1.6330e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 1.3732e-01
