# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3444e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.2717e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 1.2152e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.1721e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.1402e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.1184e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.1056e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.1029e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.1016e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.1014e-01
