# This file is generated on 06-Dec-2021 at 12:10:29 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 1.3710e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.5000e+01, 2.9705e-02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, -4.9192e-02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, -1.3059e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.8000e+01, -1.8963e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 1.6246e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 1.5028e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 1.3761e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 1.2604e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 1.1464e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.0417e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 9.5074e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 8.5802e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 7.6391e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 6.8592e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 5.8904e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 4.9532e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 4.0740e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 3.2553e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 2.6230e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 1.8141e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 9.8125e-02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e+01, 2.1260e-02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, -3.5207e-02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, -9.3461e-02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.8000e+01, -1.3572e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.2603e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.1658e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.0675e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 9.7776e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 8.8930e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 8.0813e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 7.3754e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 6.6561e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 5.9261e-01
