# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 1.6017e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 1.4738e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 1.3782e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, 1.3275e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 8.2788e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 7.1918e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 6.0655e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 5.0715e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 4.1519e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 3.3661e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 2.7387e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.1713e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 1.6830e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.3415e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 9.9432e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 7.2713e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 5.2907e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 3.8822e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 3.0603e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 2.2878e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 1.8051e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 1.5619e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, 1.4347e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, 1.3393e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, 1.2885e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 8.2134e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 7.1326e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 6.0130e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 5.0250e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 4.1112e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 3.3309e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 2.7084e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 2.1458e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 1.6619e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.3236e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 9.8008e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 7.1605e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 5.2062e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 3.8178e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 3.0080e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 2.2469e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 1.7706e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 1.5297e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 1.4037e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 1.3090e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, 1.2583e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 8.1079e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 7.0388e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 5.9317e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 4.9553e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 4.0525e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 3.2820e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 2.6678e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 2.1128e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 1.6356e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.3023e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 9.6389e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 7.0396e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 5.1168e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 3.7513e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 2.9550e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 2.2068e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 1.7385e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 1.5016e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, 1.3777e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, 1.2845e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, 1.2346e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 7.9544e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 6.9034e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 5.8159e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 4.8573e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 3.9717e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 3.2162e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 2.6140e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 2.0701e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 1.6027e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.2762e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 9.4474e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 6.9013e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 5.0171e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 3.6787e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 2.8983e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 2.1652e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 1.7071e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e+01, 1.4761e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, 1.3553e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, 1.2646e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.8000e+01, 1.2162e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.0000e-02, 7.8993e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.6000e-02, 6.8549e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 2.7000e-02, 5.7746e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.5000e-02, 4.8226e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 7.7000e-02, 3.9432e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.3000e-01, 3.1930e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 2.1000e-01, 2.5952e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.5000e-01, 2.0553e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 6.0000e-01, 1.5914e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 9.5000e-01, 1.2673e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.7000e+00, 9.3833e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.0000e+00, 6.8555e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 5.1000e+00, 4.9844e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 8.3000e+00, 3.6551e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.2000e+01, 2.8800e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.9000e+01, 2.1520e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.0000e+01, 1.6974e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.5000e+01, 1.4685e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 6.0000e+01, 1.3488e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 8.0000e+01, 1.2591e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 9.8000e+01, 1.2112e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.0000e-02, 7.9176e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.6000e-02, 6.8709e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 2.7000e-02, 5.7880e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.5000e-02, 4.8337e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 7.7000e-02, 3.9521e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.3000e-01, 3.2001e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 2.1000e-01, 2.6008e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.5000e-01, 2.0596e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 6.0000e-01, 1.5945e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 9.5000e-01, 1.2697e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.7000e+00, 9.3994e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.0000e+00, 6.8663e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 5.1000e+00, 4.9917e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 8.3000e+00, 3.6601e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.2000e+01, 2.8837e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.9000e+01, 2.1544e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.0000e+01, 1.6988e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.5000e+01, 1.4692e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 6.0000e+01, 1.3491e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 8.0000e+01, 1.2591e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 9.8000e+01, 1.2110e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.0000e-02, 8.1050e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.6000e-02, 7.0352e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 2.7000e-02, 5.9274e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.5000e-02, 4.9504e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 7.7000e-02, 4.0470e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.3000e-01, 3.2762e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 2.1000e-01, 2.6620e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.5000e-01, 2.1073e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 6.0000e-01, 1.6305e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 9.5000e-01, 1.2975e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.7000e+00, 9.5967e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.0000e+00, 7.0041e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 5.1000e+00, 5.0883e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 8.3000e+00, 3.7287e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.2000e+01, 2.9361e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.9000e+01, 2.1913e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.0000e+01, 1.7246e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.5000e+01, 1.4877e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 6.0000e+01, 1.3636e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 8.0000e+01, 1.2702e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 9.8000e+01, 1.2201e+00
