# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 1.2511e-02
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, -2.0717e-02
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, -5.4997e-02
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, -7.9862e-02
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 9.1541e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 8.4678e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 7.7535e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 7.1017e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 6.4592e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 5.8696e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 5.3569e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 4.8345e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 4.3043e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 3.8648e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 3.3189e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 2.7909e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 2.2955e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 1.8342e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 1.4779e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 1.0222e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 5.5288e-02
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 1.1979e-02
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, -1.9837e-02
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, -5.2660e-02
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, -7.6469e-02
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 8.8566e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 8.1925e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 7.5015e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 6.8709e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 6.2493e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 5.6789e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 5.1828e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 4.6774e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 4.1644e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 3.7392e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 3.2111e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 2.7002e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 2.2209e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 1.7746e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 1.4299e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 9.8893e-02
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 5.3491e-02
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 1.1590e-02
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, -1.9193e-02
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, -5.0949e-02
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, -7.3984e-02
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 8.6532e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 8.0044e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 7.3292e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 6.7131e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 6.1058e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 5.5485e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 5.0638e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 4.5700e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 4.0687e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 3.6533e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 3.1373e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 2.6381e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 2.1699e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 1.7338e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 1.3970e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 9.6622e-02
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 5.2263e-02
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 1.1324e-02
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, -1.8752e-02
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, -4.9779e-02
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, -7.2285e-02
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 8.5346e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 7.8947e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 7.2288e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 6.6211e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 6.0221e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 5.4725e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 4.9944e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 4.5074e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 4.0130e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 3.6033e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 3.0943e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 2.6020e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 2.1402e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 1.7101e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 1.3779e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 9.5299e-02
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 5.1547e-02
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e+01, 1.1168e-02
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, -1.8495e-02
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, -4.9097e-02
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.8000e+01, -7.1295e-02
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.0000e-02, 8.5097e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.6000e-02, 7.8717e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 2.7000e-02, 7.2076e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.5000e-02, 6.6017e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 7.7000e-02, 6.0045e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.3000e-01, 5.4564e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 2.1000e-01, 4.9798e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.5000e-01, 4.4942e-01
