# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,hr_km,R001_mm_h,k,alpha,att_rain_dB
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 5.1000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.1805e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.3000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2239e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.2000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6787e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 1.9000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.1675e+00
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 3.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 8.0264e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 4.5000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.6891e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 6.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.4271e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 8.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.4264e-01
1, 2, 7.5000e+01, 6.0000e+01, 1.0000e+00, 9.8000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8504e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.7479e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.6573e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.5271e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.5294e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.6064e+01
