# This file is generated on 06-Dec-2021 at 12:13:10 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 6.2024e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 5.6173e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 5.2006e-01
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, 5.0051e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 4.5096e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 3.8556e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 3.1913e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 2.6163e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 2.0942e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 1.6603e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 1.3237e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 1.0265e+01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 7.7637e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 6.0585e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 4.3723e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 3.1229e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 2.2321e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 1.6158e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 1.2612e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 9.3054e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 7.1860e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 6.0572e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, 5.4755e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, 5.0585e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, 4.8598e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 4.4812e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 3.8303e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 3.1693e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 2.5972e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 2.0779e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 1.6464e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 1.3119e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 1.0168e+01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 7.6845e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 5.9924e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 4.3203e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 3.0829e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 2.2017e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 1.5926e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 1.2423e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 9.1575e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 7.0620e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 5.9426e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 5.3652e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 4.9495e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, 4.7493e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 4.4387e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 3.7930e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 3.1375e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 2.5703e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 2.0556e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 1.6282e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 1.2969e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 1.0048e+01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 7.5903e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 5.9166e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 4.2634e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 3.0407e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 2.1706e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 1.5695e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 1.2240e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 9.0186e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 6.9509e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 5.8455e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, 5.2751e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, 4.8637e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, 4.6649e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 4.3809e+01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 3.7427e+01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 3.0950e+01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 2.5349e+01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 2.0268e+01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 1.6050e+01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 1.2782e+01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 9.9014e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 7.4783e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 5.8287e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 4.1998e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 2.9952e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 2.1381e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 1.5459e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 1.2056e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 8.8840e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 6.8492e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e+01, 5.7625e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, 5.2020e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, 4.7981e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.8000e+01, 4.6033e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.0000e-02, 4.3664e+01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.6000e-02, 3.7301e+01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 2.7000e-02, 3.0844e+01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 4.5000e-02, 2.5261e+01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 7.7000e-02, 2.0196e+01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.3000e-01, 1.5992e+01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 2.1000e-01, 1.2736e+01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.5000e-01, 9.8651e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 6.0000e-01, 7.4507e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 9.5000e-01, 5.8072e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.7000e+00, 4.1843e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.0000e+00, 2.9842e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 5.1000e+00, 2.1302e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 8.3000e+00, 1.5403e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.2000e+01, 1.2012e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.9000e+01, 8.8520e-01
