FREQUENCY,ELEVATION,PROBABILITY,ATTENUATION
75,55,0.001,117.04
75,55,0.002,103.83
75,55,0.005,85.031
75,55,0.008,75.444
75,55,0.01,71.009
75,55,0.016,62.041
75,55,0.027,52.82
75,55,0.045,44.743
75,55,0.077,37.323
75,55,0.13,30.867
75,55,0.21,25.591
75,55,0.35,20.868
75,55,0.6,16.679
75,55,0.95,13.768
75,55,1.7,10.712
75,55,3,8.2857
75,55,5.1,6.3784
75,55,8.3,4.8675
75,55,12,3.8804
75,55,19,2.803
75,55,30,2.0066
75,55,35,1.8484
75,55,45,1.6077
75,55,50,1.5127
75,55,55,1.461
75,55,60,1.4161
75,55,65,1.3891
75,55,70,1.3658
75,55,75,1.3502
75,55,80,1.3369
75,55,85,1.3254
75,55,90,1.3156
75,55,99,1.3013
75,60,0.001,115.38
75,60,0.002,102.28
75,60,0.005,83.656
75,60,0.008,74.163
75,60,0.01,69.774
75,60,0.016,60.9
75,60,0.027,51.78
75,60,0.045,43.794
75,60,0.077,36.461
75,60,0.13,30.096
75,60,0.21,24.908
75,60,0.35,20.269
75,60,0.6,16.164
75,60,0.95,13.315
75,60,1.7,10.332
75,60,3,7.9724
75,60,5.1,6.1251
75,60,8.3,4.6676
75,60,12,3.7179
75,60,19,2.6839
75,60,30,1.9203
75,60,35,1.7678
75,60,45,1.5364
75,60,50,1.4451
75,60,55,1.395
75,60,60,1.3515
75,60,65,1.3252
75,60,70,1.3023
75,60,75,1.2869
75,60,80,1.2736
75,60,85,1.2621
75,60,90,1.2522
75,60,99,1.2378
75,65,0.001,114.04
75,65,0.002,101.03
75,65,0.005,82.544
75,65,0.008,73.129
75,65,0.01,68.777
75,65,0.016,59.981
75,65,0.027,50.944
75,65,0.045,43.032
75,65,0.077,35.771
75,65,0.13,29.48
75,65,0.21,24.363
75,65,0.35,19.792
75,65,0.6,15.753
75,65,0.95,12.954
75,65,1.7,10.029
75,65,3,7.7224
75,65,5.1,5.9228
75,65,8.3,4.5076
75,65,12,3.5877
75,65,19,2.5884
75,65,30,1.8515
75,65,35,1.7041
75,65,45,1.4806
75,65,50,1.3923
75,65,55,1.3434
75,65,60,1.3007
75,65,65,1.2742
75,65,70,1.2509
75,65,75,1.2344
75,65,80,1.2198
75,65,85,1.2068
75,65,90,1.1952
75,65,99,1.177
75,70,0.001,112.76
75,70,0.002,99.838
75,70,0.005,81.5
75,70,0.008,72.166
75,70,0.01,67.853
75,70,0.016,59.137
75,70,0.027,50.186
75,70,0.045,42.353
75,70,0.077,35.166
75,70,0.13,28.947
75,70,0.21,23.898
75,70,0.35,19.39
75,70,0.6,15.413
75,70,0.95,12.658
75,70,1.7,9.7853
75,70,3,7.5236
75,70,5.1,5.7636
75,70,8.3,4.3827
75,70,12,3.4865
75,70,19,2.5145
75,70,30,1.7979
75,70,35,1.6543
75,70,45,1.4365
75,70,50,1.3507
75,70,55,1.3028
75,70,60,1.2611
75,70,65,1.2351
75,70,70,1.2122
75,70,75,1.1959
75,70,80,1.1816
75,70,85,1.1688
75,70,90,1.1573
75,70,99,1.1393
75,75,0.001,111.24
75,75,0.002,98.445
75,75,0.005,80.3
75,75,0.008,71.073
75,75,0.01,66.81
75,75,0.016,58.2
75,75,0.027,49.361
75,75,0.045,41.63
75,75,0.077,34.54
75,75,0.13,28.411
75,75,0.21,23.441
75,75,0.35,19.005
75,75,0.6,15.095
75,75,0.95,12.389
75,75,1.7,9.5693
75,75,3,7.352
75,75,5.1,5.6287
75,75,8.3,4.2783
75,75,12,3.4025
75,75,19,2.4534
75,75,30,1.7539
75,75,35,1.6135
75,75,45,1.4008
75,75,50,1.3169
75,75,55,1.2702
75,75,60,1.2293
75,75,65,1.2038
75,75,70,1.1814
75,75,75,1.1654
75,75,80,1.1514
75,75,85,1.1388
75,75,90,1.1275
75,75,99,1.1099
75,80,0.001,109.23
75,80,0.002,96.601
75,80,0.005,78.736
75,80,0.008,69.662
75,80,0.01,65.472
75,80,0.016,57.014
75,80,0.027,48.338
75,80,0.045,40.754
75,80,0.077,33.803
75,80,0.13,27.798
75,80,0.21,22.93
75,80,0.35,18.589
75,80,0.6,14.763
75,80,0.95,12.116
75,80,1.7,9.3592
75,80,3,7.1912
75,80,5.1,5.5062
75,80,8.3,4.1854
75,80,12,3.3288
75,80,19,2.4001
75,80,30,1.7158
75,80,35,1.5786
75,80,45,1.3707
75,80,50,1.2887
75,80,55,1.243
75,80,60,1.2031
75,80,65,1.1783
75,80,70,1.1564
75,80,75,1.1409
75,80,80,1.1272
75,80,85,1.115
75,80,90,1.104
75,80,99,1.0869
75,85,0.001,106.64
75,85,0.002,94.248
75,85,0.005,76.758
75,85,0.008,67.89
75,85,0.01,63.798
75,85,0.016,55.544
75,85,0.027,47.084
75,85,0.045,39.696
75,85,0.077,32.932
75,85,0.13,27.089
75,85,0.21,22.352
75,85,0.35,18.128
75,85,0.6,14.407
75,85,0.95,11.832
75,85,1.7,9.1483
75,85,3,7.0361
75,85,5.1,5.392
75,85,8.3,4.1011
75,85,12,3.2628
75,85,19,2.353
75,85,30,1.6824
75,85,35,1.5483
75,85,45,1.3451
75,85,50,1.2649
75,85,55,1.2204
75,85,60,1.1816
75,85,65,1.1575
75,85,70,1.1364
75,85,75,1.1215
75,85,80,1.1082
75,85,85,1.0965
75,85,90,1.0859
75,85,99,1.0694
75,90,0.001,108.81
75,90,0.002,96.214
75,90,0.005,78.394
75,90,0.008,69.344
75,90,0.01,65.166
75,90,0.016,56.733
75,90,0.027,48.082
75,90,0.045,40.522
75,90,0.077,33.594
75,90,0.13,27.612
75,90,0.21,22.766
75,90,0.35,18.445
75,90,0.6,14.64
75,90,0.95,12.009
75,90,1.7,9.2691
75,90,3,7.1172
75,90,5.1,5.4465
75,90,8.3,4.1384
75,90,12,3.2905
75,90,19,2.3722
75,90,30,1.6955
75,90,35,1.5596
75,90,45,1.3539
75,90,50,1.2728
75,90,55,1.2275
75,90,60,1.188
75,90,65,1.1633
75,90,70,1.1416
75,90,75,1.1261
75,90,80,1.1125
75,90,85,1.1003
75,90,90,1.0894
75,90,99,1.0723
