# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,liq_cont_g_m3,att_cld_dB
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 4.7591e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 4.3523e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 3.9417e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 3.3862e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 2.8208e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 2.2450e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 1.6905e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 1.2616e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 7.1516e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 2.6139e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 6.1428e-02
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 5.4409e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 5.4409e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 5.4409e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 5.4409e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 5.4409e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 5.2467e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 4.8995e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 4.5900e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 4.1977e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 3.8016e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 3.2659e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 2.7206e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 2.1652e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 1.6305e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 1.2168e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 6.8975e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 2.5211e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 5.9246e-02
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 5.2931e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 5.2931e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 5.2931e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 5.2931e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 5.2931e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 5.1042e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 4.7664e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 4.4653e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 4.0837e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 3.6984e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 3.1772e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 2.6467e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 2.1064e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 1.5862e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 1.1837e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 6.7102e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 2.4526e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 5.7637e-02
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 5.1916e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 5.1916e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 5.1916e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 5.1916e+00
