# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e+01, 4.6975e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 4.4550e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 4.3057e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.8000e+01, 4.2580e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 1.2393e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 1.0932e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 9.3997e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 8.0313e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 6.7509e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 5.6210e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 4.6849e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 3.8142e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 3.0490e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 2.4967e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 1.9158e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 1.4449e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 1.0768e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 8.0607e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 6.4579e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 4.9424e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 4.0396e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e+01, 3.6372e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 3.4356e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 3.3038e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.8000e+01, 3.2528e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.1071e+02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 9.7310e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 8.3302e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 7.0835e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 5.9209e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 4.9028e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 4.0665e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 3.2936e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 2.6177e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 2.1330e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 1.6268e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 1.2205e+01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 9.0601e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 6.7600e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 5.4020e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 4.1199e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 3.3514e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e+01, 3.0025e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 2.8260e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 2.7063e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.8000e+01, 2.6551e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.0185e+02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 8.9268e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 7.6156e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 6.4516e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 5.3687e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 4.4261e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 3.6567e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 2.9492e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 2.3328e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 1.8931e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 1.4365e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 1.0729e+01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 7.9368e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 5.9050e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 4.7083e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 3.5796e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 2.8992e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e+01, 2.5852e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 2.4252e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 2.3139e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.8000e+01, 2.2633e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 9.5681e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 8.3679e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 7.1193e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 6.0130e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 4.9857e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 4.0954e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 3.3725e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 2.7103e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 2.1352e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 1.7267e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 1.3044e+01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 9.7042e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 7.1569e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 5.3115e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 4.2265e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 3.2042e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 2.5844e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e+01, 2.2942e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 2.1454e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 2.0400e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.8000e+01, 1.9899e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 9.1334e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 7.9738e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 6.7691e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 5.7032e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 4.7146e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 3.8611e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 3.1709e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 2.5406e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 1.9944e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 1.6079e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 1.2099e+01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 8.9703e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 6.5977e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 4.8854e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 3.8804e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 2.9340e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 2.3573e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e+01, 2.0834e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, 1.9424e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, 1.8411e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.8000e+01, 1.7914e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 8.8282e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 7.6966e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 6.5222e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 5.4841e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 4.5222e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 3.6941e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 3.0267e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 2.4188e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 1.8931e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 1.5221e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 1.1414e+01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 8.4357e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 6.1894e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 4.5737e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 3.6268e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 2.7356e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 2.1897e+00
