# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 4.5000e+01, 5.6287e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, -9.3212e-02
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, -2.4744e-01
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 9.8000e+01, -3.5931e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 3.0785e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 2.8477e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 2.6075e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 2.3883e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 2.1722e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.9739e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 1.8015e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.6258e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.4475e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.2997e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 1.1161e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 9.3855e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 7.7197e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 6.1682e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 4.9702e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 3.4375e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 1.8593e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e+01, 4.0285e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, -6.6712e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, -1.7709e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.8000e+01, -2.5716e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 2.3881e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 2.2091e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 2.0227e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 1.8527e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 1.6851e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 1.5313e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.3975e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 1.2612e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 1.1229e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 1.0083e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 8.6585e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 7.2809e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 5.9886e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 4.7850e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 3.8556e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 2.6666e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 1.4424e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e+01, 3.1251e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, -5.1752e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, -1.3738e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.8000e+01, -1.9950e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.9518e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 1.8055e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 1.6532e+00
