# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_comb_dB
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.5000e+01, 1.7869e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 1.6730e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 1.6191e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.8000e+01, 1.6203e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 6.7848e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 5.8783e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 4.9459e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 4.1288e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 3.3780e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 2.7390e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 2.2300e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.7708e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.3771e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.1019e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 8.2216e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 6.0592e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 4.4459e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 3.2933e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 2.6191e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 1.9831e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 1.5855e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e+01, 1.3888e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 1.2939e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 1.2424e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.8000e+01, 1.2344e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 6.0741e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 5.2456e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 4.3964e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 3.6548e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 2.9756e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 2.4009e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.9460e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 1.5378e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 1.1892e+01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 9.4697e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 7.0215e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 5.1454e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 3.7577e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 2.7723e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 2.1979e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 1.6574e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 1.3188e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e+01, 1.1496e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, 1.0667e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, 1.0179e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.8000e+01, 1.0057e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 5.5904e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 4.8160e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 4.0243e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 3.3346e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 2.7047e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 2.1739e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 1.7558e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 1.3820e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 1.0640e+01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 8.4391e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 6.2254e+00
