# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.4610e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.4786e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0370e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.8169e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0910e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.6135e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.2787e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.0336e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.8488e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.7067e-01
