# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,liq_cont_g_m3,att_cld_dB
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 4.3865e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 3.8573e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 3.3670e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 2.7250e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 2.0364e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 1.3648e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 8.1298e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 4.7586e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 1.5830e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 1.5385e-02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 3.1732e-03
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 4.1709e+00
